sample	genefamilies_UNMAPPED	pathabundance_UNMAPPED	pathabundance_UNINTEGRATED	detected_pathways
SRR22709634	6120513.0	1621653.41303208	5197228.16618033	122
SRR22709635	5429111.0	928790.0047775592	2304199.014517648	80
SRR22709636	5151052.0	1202690.3150344377	3525475.7299239044	131
SRR22709637	5334444.0	1414006.5795692392	2562693.038979778	17
SRR22709638	3674806.0	1110780.708285366	4087954.67529754	415
SRR22709639	4363676.0	1358691.5105448929	5110661.386133705	250
SRR22709640	3649083.0	941415.5184675509	1527589.956731882	210
SRR22709641	4625846.0	1405430.971732545	4353824.904772853	449
SRR22709642	5287904.0	1659999.7673516124	7743976.169324518	473
SRR22709643	4539802.0	1290454.882473215	1623028.9358114563	138
SRR22709644	4605785.0	1226168.1578903839	4345254.9585413365	208
SRR22709645	4884253.0	1023774.0361314265	2499564.913051678	74
SRR22709646	4447569.0	1328794.1440582925	6527463.109544732	232
SRR22709647	4792703.0	1383979.5345796759	4883520.878953708	78
SRR22709648	3501624.0	1067714.3538478925	2880909.4039449682	250
SRR22709649	4174560.0	1155481.8891886843	4742174.1986374315	548
SRR22709650	4307089.0	1293908.1946692765	3679715.2414249303	325
SRR22709651	4309805.0	1005228.2511758304	3939580.3703537607	236
SRR22709652	5058538.0	1482936.82325871	5072479.65657925	271
SRR22709653	4093895.0	1276402.7884467188	5560348.671054337	434
SRR22709654	4896589.0	1232027.9592871962	8378282.370035013	108
SRR22709655	4304256.0	1354303.357223768	4101775.152658441	688
SRR22709656	1225632.0	298903.2893334079	853635.2952480688	68
SRR22709657	5031790.0	1402867.362690703	5744723.126886143	96
SRR22709658	6562218.0	1735266.8482407534	2524895.0011128336	151
SRR22709659	4045129.0	1148507.7927053429	8669390.03823273	655
SRR22709660	4071959.0	882020.7083370121	4242512.48219969	133
SRR22709661	4262743.0	1326371.869573893	5954064.684049497	626
SRR22709662	4877484.0	1661057.1259607526	5864334.546813038	334
SRR22709663	5334449.0	1398448.2294985894	4195059.890375919	76
SRR22709664	4019230.0	924832.4334121122	1010676.5466912531	89
SRR22709665	4692763.0	1301803.2521523088	3267209.95041316	353
SRR22709667	4124108.0	1017448.8049205513	3726082.4818007024	380
SRR22709668	5730318.0	1352349.3601703518	5872052.541358133	186
SRR22709669	4361309.0	1293291.5682296967	6253036.868062514	280
SRR22709670	4266030.0	1371345.0371370749	3568119.0815181406	306
SRR22709671	4606858.0	1046954.2100481915	2381229.883516502	213
SRR22709672	3908554.0	826517.1523807894	5207895.208389188	280
SRR22709673	6157951.0	1557392.2851727922	5912194.205237565	128
SRR22709674	6530590.0	1655732.152027463	4804788.268124502	41
SRR22709675	4902719.0	1282902.7252556414	4688259.583962414	228
SRR22709676	4933896.0	878681.8342508386	2470262.1626195707	13
SRR22709677	4933957.0	1350975.5919484657	5540751.327753846	134
SRR22709678	5429859.0	1008952.4407521931	2818796.095389124	9
SRR22709679	4645278.0	1093040.4863716513	2780596.1144247586	164
SRR22709680	4265533.0	793989.7337396862	4337379.108500147	111
SRR22709681	6145872.0	1683790.4627463112	7672021.7458779635	172
SRR22709682	4440848.0	1183125.35302382	3942599.570188737	23
SRR22709683	4508562.0	1322475.9942973314	6443476.835252871	256
SRR22709684	6454180.0	782257.2285688249	1916347.5258372754	3
SRR22709685	6357108.0	1235173.9532325345	2340262.769129911	75
SRR22709686	3998903.0	979115.1388184858	5728807.202629523	130
SRR22709687	5291382.0	1374085.5736165582	3165931.1566395606	68
SRR22709688	4511692.0	1201856.5506087227	5626157.009693646	96
SRR22709689	6758191.0	1360604.7217063115	6278780.025657874	120
SRR22709690	7850114.0	2267624.0896541583	7016945.277915963	86
SRR22709691	4216275.0	1256113.5634959438	6216380.81170479	500
SRR22709692	5785596.0	1538645.4166954926	5568719.924391697	296
SRR22709693	4045815.0	1312485.3047841582	7007710.74487966	108
SRR22709694	5431097.0	1433031.069513114	1726788.5472397243	40
SRR22709695	5802049.0	1437324.3471608162	2809294.267410169	158
SRR22709696	4636479.0	836077.2146756615	1131956.4789025167	66
SRR22709697	5445311.0	1045204.8015848143	1776100.4733922414	6
SRR22709698	5409211.0	1412368.054138406	4517372.861016285	89
SRR22709699	4839281.0	1375535.3666602906	4699910.838154003	377
SRR22709700	5441607.0	843437.5874499488	4203086.006757886	15
SRR22709701	5343420.0	1691187.0521351686	5407186.67895515	197
SRR22709702	6574424.0	1304940.2248965665	3238357.026970354	99
SRR22709703	4678753.0	998941.290740987	3654591.727617835	104
SRR22709704	5958408.0	1486683.2553964527	6500416.995478497	105
SRR22709705	4190162.0	1267761.5210661476	6458806.966704664	486
SRR22709706	4486490.0	1325570.4313798929	5269687.454598354	340
SRR22709707	5711473.0	1480318.0582426	5037292.870386796	54
SRR22709708	5483225.0	1551011.3452172063	7002276.734307736	317
SRR22709709	5814633.0	1479578.7349599772	7152198.161971136	187
SRR22709710	5949363.0	1775980.104605888	3882195.929915113	348
SRR22709711	4830526.0	1388011.676542867	8968738.959313355	356
SRR22709712	5674415.0	1339404.0524958349	6498954.582283606	7
SRR22709713	5995170.0	1617451.4808008866	7931936.507793719	117
SRR22709714	4258074.0	1249385.3233797732	3102498.5734593202	199
SRR22709715	4554441.0	1352698.0311540668	9189519.8025542	280
SRR22709716	5461832.0	1357409.9256730825	3549126.028236927	130
SRR22709717	4775194.0	1174587.1191976655	2594666.367277011	71
SRR22709718	3601489.0	877279.7462024633	3957314.485054797	112
SRR22709719	4745577.0	916896.6632510603	2333915.7804141482	17
SRR22709720	6225056.0	1608096.8576282184	6743875.235657426	94
SRR22709721	5006551.0	1510415.5453353566	5528728.160300164	632
SRR22709722	4298058.0	1180457.3185894184	3364833.879012065	70
SRR22709723	5318316.0	1263896.6179803489	3249887.771688756	148
SRR22709724	5464393.0	1759015.0605019354	5573983.522683453	486
SRR22709725	3664515.0	912719.627961955	2833055.9706323496	212
SRR22709726	3590333.0	692619.0701236452	1689193.48398739	152
SRR22709727	5405017.0	788180.4027857422	2084072.7409808955	17
SRR22709728	6352447.0	1680215.744670593	13704927.64060678	125
SRR22709729	6268704.0	733091.283634521	1673607.9159162135	2
SRR22709730	5032631.0	1250455.4588700077	7358959.211193288	274
SRR22709731	6867602.0	1469247.7175702772	2323239.5603413326	42
SRR22709732	4412366.0	861920.4892676861	1940572.0912231398	12
SRR22709733	4605621.0	1363650.8077921718	8051376.908433712	41
SRR22709734	4464978.0	1140561.5977696008	4971448.458691822	201
SRR22709735	5633148.0	1736082.2723793117	3323239.2729533096	68
SRR22709736	4152688.0	1167051.4056994608	3371182.756892361	335
SRR22709737	4354073.0	1147899.424293996	3357883.791041728	119
SRR22709738	5238580.0	1749594.5738831006	6067367.849651622	291
SRR22709739	3789792.0	1115681.9949458467	6994863.996155759	297
SRR22709740	4485576.0	1294088.2925894985	5484241.736276492	267
SRR22709741	665701.0	181064.3448892155	174238.6406876247	118
SRR22709742	4894172.0	1427708.4343504016	3559320.6223521046	285
SRR22709743	5931891.0	1998021.5160009756	7190007.740929348	227
SRR22709744	5938503.0	1623142.1987201185	4829756.045065312	198
SRR22709745	3949322.0	1141981.9510345242	5183052.158444062	142
